,w_tqqq,w_spy,w_cash,score,deviation,bands,gate_open
2022-04-08,0.6,0.0,0.4,0.615752840530736,0.0015842709636662011,0.0,1
2022-04-11,0.7,0.0,0.30000000000000004,0.6088103414407929,-0.0477501598421497,-1.0,1
2022-04-12,0.8,0.0,0.19999999999999996,0.5040204424325675,-0.12204106241392487,-2.0,1
2022-04-13,0.0,0.0,1.0,0.4932830804067674,-0.13648424206785825,-3.0,0
2022-04-14,0.8,0.0,0.19999999999999996,0.5537124791046827,-0.08633495801787372,-2.0,1
2022-04-18,0.9,0.0,0.09999999999999998,0.5188760032796665,-0.1454312265358092,-3.0,1
2022-04-19,0.9,0.0,0.09999999999999998,0.5326802947071975,-0.13833611487512132,-3.0,1
2022-04-20,0.8,0.0,0.19999999999999996,0.5619778291114517,-0.08072946157367056,-2.0,1
2022-04-21,0.8,0.0,0.19999999999999996,0.5762578309961568,-0.11565692874618128,-2.0,1
2022-04-22,0.9,0.0,0.09999999999999998,0.5152579682966736,-0.1609836227255922,-3.0,1
2022-04-25,0.0,0.0,1.0,0.39022987130087095,-0.21628970921162793,-4.0,0
2022-04-26,0.0,0.0,1.0,0.4113199311417559,-0.17642321410830852,-4.0,0
2022-04-27,0.0,0.0,1.0,0.31286437601039685,-0.25380558044866475,-5.0,0
2022-04-28,0.0,0.0,1.0,0.3338876218364318,-0.23889563234880218,-5.0,0
2022-04-29,0.0,0.0,1.0,0.3861977748412408,-0.14248126083345025,-3.0,0
2022-05-02,0.0,0.0,1.0,0.31799391061557536,-0.23841897633007114,-5.0,0
2022-05-03,0.0,0.0,1.0,0.34693905524646756,-0.18585850214587119,-4.0,0
2022-05-04,0.0,0.0,1.0,0.3831489945186303,-0.1632749086522608,-3.0,0
2022-05-05,0.7,0.0,0.30000000000000004,0.500389364969362,-0.06468843798985024,-1.0,1
2022-05-06,0.0,0.0,1.0,0.37041878838964154,-0.18799874363616043,-4.0,0
2022-05-09,0.0,0.0,1.0,0.37834990632610577,-0.19866637384512364,-4.0,0
2022-05-10,0.0,0.0,1.0,0.32911578582567186,-0.2754810863256195,-5.0,0
2022-05-11,0.0,0.0,1.0,0.3350721345619078,-0.23550063369256946,-5.0,0
2022-05-12,0.0,0.0,1.0,0.3401177298483505,-0.28734256856918106,-5.0,0
2022-05-13,0.0,0.0,1.0,0.3541805516225877,-0.273361589378213,-5.0,0
2022-05-16,0.0,0.0,1.0,0.4165441857473718,-0.17832419137688926,-4.0,0
2022-05-17,0.0,0.0,1.0,0.4360725325672061,-0.1863659844533605,-4.0,0
2022-05-18,0.0,0.0,1.0,0.47325837922298336,-0.10460324180806346,-2.0,0
2022-05-19,0.0,0.0,1.0,0.3604660130255796,-0.2141920718057435,-4.0,0
2022-05-20,0.0,0.0,1.0,0.39191825445358236,-0.21081614820119832,-4.0,0
2022-05-23,0.0,0.0,1.0,0.3869744265121122,-0.2014954075702402,-4.0,0
2022-05-24,0.0,0.0,1.0,0.4129217152974864,-0.14411861943396675,-3.0,0
2022-05-25,0.0,0.0,1.0,0.3736848462235474,-0.18374777179858048,-4.0,0
2022-05-26,0.0,0.0,1.0,0.39994478595397204,-0.13781690464032104,-3.0,0
2022-05-27,0.0,0.0,1.0,0.43302315971661326,-0.048500729711821955,-1.0,0
2022-05-31,0.0,0.0,1.0,0.48295915001008183,0.050041839125599896,1.0,0
2022-06-01,0.0,0.0,1.0,0.4660560669232013,0.05109179988068191,1.0,0
2022-06-02,0.0,0.0,1.0,0.4599018882970769,0.03659226246325087,1.0,0
2022-06-03,0.29999999999999993,0.0,0.7000000000000001,0.5020071232234352,0.1339083030697834,3.0,1
2022-06-06,0.0,0.0,1.0,0.4758793787526919,0.0505841993523819,1.0,0
2022-06-07,0.0,0.0,1.0,0.46730568432031033,0.06727019226856368,1.0,0
2022-06-08,0.0,0.0,1.0,0.47977521985381766,0.08816668723199839,2.0,0
2022-06-09,0.0,0.0,1.0,0.470285780057778,0.06409003003709324,1.0,0
2022-06-10,0.0,0.0,1.0,0.41224463498154057,-0.024556774881724808,-0.0,0
2022-06-13,0.0,0.0,1.0,0.35384112691334724,-0.12616617446347012,-3.0,0
2022-06-14,0.0,0.0,1.0,0.22454622611607036,-0.23653268926128157,-5.0,0
2022-06-15,0.0,0.0,1.0,0.22930852623374695,-0.22202321530574043,-4.0,0
2022-06-16,0.0,0.0,1.0,0.2873411248937258,-0.15468577072481537,-3.0,0
2022-06-17,0.0,0.0,1.0,0.2450346583613082,-0.24987991260506792,-5.0,0
2022-06-21,0.0,0.0,1.0,0.2673101471400887,-0.21547598424902192,-4.0,0
2022-06-22,0.0,0.0,1.0,0.2922276848889338,-0.15195589356430306,-3.0,0
2022-06-23,0.0,0.0,1.0,0.30988302426448994,-0.14857075240532813,-3.0,0
2022-06-24,0.0,0.0,1.0,0.3064985157192387,-0.10966625076795422,-2.0,0
2022-06-27,0.0,0.0,1.0,0.3560104110574973,-0.016520315853260525,-0.0,0
2022-06-28,0.0,0.0,1.0,0.35701576635256976,-0.03462898470510023,-1.0,0
2022-06-29,0.0,0.0,1.0,0.3096601568432202,-0.10930150992306209,-2.0,0
2022-06-30,0.0,0.0,1.0,0.3147736434009817,-0.09423522163810172,-2.0,0
2022-07-01,0.0,0.0,1.0,0.30933402099857893,-0.11290172783409935,-2.0,0
2022-07-05,0.0,0.0,1.0,0.3624698180219906,-0.0806287732082106,-2.0,0
2022-07-06,0.0,0.0,1.0,0.3420989536335188,-0.021160442078035357,-0.0,0
2022-07-07,0.0,0.0,1.0,0.3458024335822801,0.009870767386418233,0.0,0
2022-07-08,0.0,0.0,1.0,0.36888375016355024,0.08412101987246068,2.0,0
2022-07-11,0.0,0.0,1.0,0.40081561085099465,0.09941662540260743,2.0,0
2022-07-12,0.0,0.0,1.0,0.35776371019729547,0.03718130233243744,1.0,0
2022-07-13,0.0,0.0,1.0,0.3193972507678784,0.009879739446904123,0.0,0
2022-07-14,0.0,0.0,1.0,0.3119643728586681,-0.0006941905670848625,-0.0,0
2022-07-15,0.0,0.0,1.0,0.32088654022745894,0.00519385110427506,0.0,0
2022-07-18,0.0,0.0,1.0,0.3710001249339731,0.054184812266246496,1.0,0
2022-07-19,0.0,0.0,1.0,0.3423376520712631,0.021128834615208536,0.0,0
2022-07-20,0.0,0.0,1.0,0.36055117212310756,0.09807838403565383,2.0,0
2022-07-21,0.0,0.0,1.0,0.37661017088246024,0.14112287525878786,3.0,0
2022-07-22,0.0,0.0,1.0,0.38848649968073284,0.17420955393528215,3.0,0
2022-07-25,0.0,0.0,1.0,0.37511664122277133,0.10404915623113808,2.0,0
