,vix,vix_ma,irx,irx_delta,curve_slope,spy_sma,spy_above_sma,qqq_mom,score_vix_level,score_vix_trend,score_rate_easing,score_trend,score_momentum,score_curve,composite
2024-08-26,16.149999618530273,19.786500024795533,4.998000144958496,-0.25,-1.3340001106262207,496.4795794677734,1,0.32501084267343106,2,1,1,1,1,0,6.0
2024-08-27,15.430000305175781,19.67350001335144,4.9679999351501465,-0.27699995040893555,-1.310999870300293,497.11040771484375,1,0.3187467627393741,2,1,1,1,1,0,6.0
2024-08-28,17.110000610351562,19.71100001335144,4.954999923706055,-0.28800010681152344,-1.2899999618530273,497.7417984008789,1,0.2940418935569775,2,1,1,1,1,0,6.0
2024-08-29,15.649999618530273,19.56399998664856,4.965000152587891,-0.27499961853027344,-1.2970001697540283,498.3406234741211,1,0.2645303559221317,2,1,1,1,1,0,6.0
2024-08-30,15.0,19.144500017166138,4.9679999351501465,-0.2719998359680176,-1.253000020980835,498.96758499145506,1,0.27250659095534835,2,1,1,1,1,0,6.0
2024-09-03,20.719999313354492,18.25199999809265,4.96999979019165,-0.2630000114440918,-1.313999891281128,499.49635299682615,1,0.23018316786877335,1,0,1,1,1,0,4.0
2024-09-04,21.31999969482422,17.932500028610228,4.947999954223633,-0.28999996185302734,-1.3819999694824219,500.0149833679199,1,0.2282865803070504,1,0,1,1,1,0,4.0
2024-09-05,19.899999618530273,17.534999990463255,4.932000160217285,-0.30099964141845703,-1.3920001983642578,500.5243859863281,1,0.2278723888632519,2,0,1,1,1,0,5.0
2024-09-06,22.3799991607666,17.46449990272522,4.9079999923706055,-0.33699989318847656,-1.4189999103546143,500.9857781982422,1,0.20559976222505316,1,0,1,1,1,0,4.0
2024-09-09,19.450000762939453,17.41849989891052,4.894999980926514,-0.34800004959106445,-1.4079999923706055,501.45997970581055,1,0.22989916225164753,2,0,1,1,1,0,5.0
2024-09-10,19.079999923706055,17.336999940872193,4.835000038146973,-0.4049997329711914,-1.4070000648498535,501.95063385009763,1,0.23953308480072288,2,0,1,1,1,0,5.0
2024-09-11,17.690000534057617,17.315499925613402,4.875,-0.36499977111816406,-1.4279999732971191,502.46037689208987,1,0.2517015920470709,2,0,1,1,1,0,5.0
