,equity
2021-02-17,144728.21334203225
2021-02-18,141929.51274220983
2021-02-19,141162.0221361498
2021-02-22,136710.1994548805
2021-02-23,136238.78148756785
2021-02-24,137505.34976237692
2021-02-25,131885.75506263334
2021-02-26,132761.9328510431
2021-03-01,133857.90661162217
2021-03-02,133450.95848532204
2021-03-03,132773.61247876592
2021-03-04,132149.1679152088
2021-03-05,133013.65167813638
2021-03-08,132754.63101961996
2021-03-09,133454.5636141103
2021-03-10,133764.15001433098
2021-03-11,134271.47118314562
2021-03-12,134904.42080447168
2021-03-15,136658.1048770845
2021-03-16,137587.6291222838
2021-03-17,138312.65083343073
2021-03-18,132965.09476626702
2021-03-19,133640.51986343047
2021-03-22,136497.12233008957
2021-03-23,135759.75787027858
2021-03-24,132946.57691281656
2021-03-25,132661.58362259076
2021-03-26,134985.32275983968
2021-03-29,134954.37564827336
2021-03-30,134173.65180978176
2021-03-31,136602.7331278469
2021-04-01,139477.94202680857
2021-04-05,143047.16627530276
2021-04-06,142898.49153344118
2021-04-07,143363.27253197046
2021-04-08,145562.20258931594
2021-04-09,147784.61346675182
2021-04-12,147295.95300264377
2021-04-13,151554.62620042934
2021-04-14,147039.96110870317
2021-04-15,152520.40839263657
2021-04-16,153067.29163070756
2021-04-19,149518.4121859268
2021-04-20,146749.1082357058
2021-04-21,149587.6431414202
2021-04-22,145250.43632547275
2021-04-23,149576.7075329995
2021-04-26,151936.54686763565
2021-04-27,150341.50535385404
2021-04-28,149106.99970910625
2021-04-29,150297.83267526116
2021-04-30,148047.28769052622
2021-05-03,146124.49276709542
2021-05-04,140028.38197464054
2021-05-05,140359.03154652324
2021-05-06,141508.81014145812
2021-05-07,142822.86060442406
2021-05-10,138690.10556162562
2021-05-11,138435.79234973702
2021-05-12,134597.02852999172
2021-05-13,135626.54198786503
2021-05-14,138320.1997754346
2021-05-17,137498.9709923037
2021-05-18,136367.9740914217
2021-05-19,136437.29070315947
2021-05-20,139205.7960895431
2021-05-21,138329.0063069115
2021-05-24,140857.58692381225
2021-05-25,141113.68417102192
2021-05-26,141652.7525449858
2021-05-27,141025.0548481945
2021-05-28,141542.6494190134
2021-06-01,141019.53090977808
2021-06-02,141297.14207862923
2021-06-03,139616.80973920156
2021-06-04,142271.16725651617
2021-06-07,142752.25665288576
2021-06-08,141919.86398619844
2021-06-09,142050.1808431686
2021-06-10,143865.81985897903
2021-06-11,144716.74148302453
2021-06-14,147918.0279987122
2021-06-15,145742.00035329626
2021-06-16,144507.565060414
2021-06-17,148533.65208800777
2021-06-18,145830.31000969827
2021-06-21,147607.35949339147
2021-06-22,150705.39490398657
2021-06-23,150902.89795708287
2021-06-24,153005.693683019
2021-06-25,152640.4946961091
2021-06-28,156747.32816853584
2021-06-29,158099.85533047133
2021-06-30,157566.83041130213
2021-07-01,157626.1252700166
2021-07-02,161732.95438161958
2021-07-06,163411.24110868276
2021-07-07,164292.6016520757
2021-07-08,162183.50776103663
2021-07-09,163903.7651053259
2021-07-12,165220.29457240202
2021-07-13,165153.74769109092
2021-07-14,165875.05165267753
2021-07-15,163292.39609577993
2021-07-16,160405.67304830573
2021-07-19,157583.0369299746
2021-07-20,160525.4795902655
2021-07-21,162726.63471630705
2021-07-22,165013.28943930956
2021-07-23,168780.51186694976
2021-07-26,169283.75119270265
2021-07-27,165424.04074516846
2021-07-28,166642.37420892745
2021-07-29,167237.44889841715
2021-07-30,165666.49024194488
2021-08-02,165708.5994637633
2021-08-03,167562.28214547125
2021-08-04,168107.02961453103
2021-08-05,170240.48572656728
2021-08-06,168709.30263698683
2021-08-09,169361.32095116426
2021-08-10,167456.30686563958
2021-08-11,166822.56295956633
2021-08-12,168147.43862619816
2021-08-13,169422.21665922704
2021-08-16,169647.26460027756
2021-08-17,166263.61510568735
2021-08-18,162937.3105999829
2021-08-19,163964.54928358222
2021-08-20,166824.07868078467
2021-08-23,171560.05759589493
2021-08-24,172715.46386047528
2021-08-25,172856.8400979112
2021-08-26,170719.0381121427
2021-08-27,174070.84125969966
2021-08-30,178234.89267591317
2021-08-31,177863.12320288667
2021-09-01,178587.57441229827
2021-09-02,178401.15010372573
2021-09-03,179595.32070167363
2021-09-07,180142.36699118285
2021-09-08,178809.68713501046
2021-09-09,177438.54752898344
2021-09-10,174796.11051423138
2021-09-13,174757.4064986335
2021-09-14,173612.3981880296
2021-09-15,176190.6092084786
2021-09-16,176526.922161053
2021-09-17,172057.6106681683
2021-09-20,164682.7795749474
2021-09-21,165156.55893855108
2021-09-22,167582.1997327763
2021-09-23,170282.67670914286
2021-09-24,170990.74081558554
2021-09-27,167941.04352690736
2021-09-28,160247.31344271827
2021-09-29,160039.95835292403
2021-09-30,159412.14652023726
2021-10-01,160314.12199760712
2021-10-04,157033.8780472372
2021-10-05,158854.1893216922
2021-10-06,160046.6343061425
2021-10-07,161516.76214873188
2021-10-08,160543.67348537841
2021-10-11,159225.3999740361
2021-10-12,158633.89701116225
2021-10-13,159980.45008422664
2021-10-14,163227.79514322296
2021-10-15,164378.6689178258
2021-10-18,166274.9268055255
2021-10-19,168573.73595341246
2021-10-20,168143.10420629
2021-10-21,170583.81791105715
2021-10-22,167071.21044451604
2021-10-25,171129.56460704622
2021-10-26,172431.29991685544
2021-10-27,173541.6254486675
2021-10-28,178193.33769114283
2021-10-29,180356.53680136055
2021-11-01,181820.9633082091
2021-11-02,183720.49142004974
2021-11-03,188362.6242514596
2021-11-04,193990.21134023348
2021-11-05,194570.53266681667
2021-11-08,193946.69536729567
2021-11-09,190846.80196902738
2021-11-10,184390.06066749935
2021-11-11,185532.68757843185
2021-11-12,190041.00598167122
2021-11-15,189996.76321644406
2021-11-16,193025.94901883573
2021-11-17,193203.1869894627
2021-11-18,197782.36178334252
2021-11-19,200395.27425482633
2021-11-22,195280.11146079362
2021-11-23,193315.29597679139
2021-11-24,194620.66297131227
2021-11-26,186642.4533918986
2021-11-29,193710.07558809675
2021-11-30,188840.51989357662
2021-12-01,185006.96877036736
2021-12-02,185305.31087815564
2021-12-03,180159.4595336505
2021-12-06,181231.7413912457
2021-12-07,184953.17264110828
2021-12-08,186481.35603112
2021-12-09,180381.8349742897
2021-12-10,183850.38073836308
2021-12-13,180765.16808077611
2021-12-14,178724.0360227694
2021-12-15,182838.84981198132
2021-12-16,177392.8519802851
2021-12-17,176391.88473661745
2021-12-20,174428.7336780333
2021-12-21,178103.72667928337
2021-12-22,180413.63125855452
2021-12-23,182053.77221341012
2021-12-27,185466.591821316
2021-12-28,183121.0517923353
2021-12-29,182966.56777828405
2021-12-30,182282.00411983614
2021-12-31,180933.99395474716
2022-01-03,182988.4234275739
2022-01-04,180142.6145229506
2022-01-05,173667.7374612354
2022-01-06,173467.424201531
2022-01-07,171447.44400260627
2022-01-10,169435.51079851616
2022-01-11,170006.31044855024
2022-01-12,170177.66403493445
2022-01-13,169305.04365898712
