,sleeve_equity
2022-01-12,122718.73962528256
2022-01-13,122505.62033938995
2022-01-14,122325.60036904912
2022-01-18,122222.86449530082
2022-01-19,123212.87163915412
2022-01-20,123055.05654327273
2022-01-21,122849.42316444466
2022-01-24,123195.6417966306
2022-01-25,123398.36582184481
2022-01-26,122326.69523085523
2022-01-27,121472.66143207642
2022-01-28,121273.35915345408
2022-01-31,121603.65368629419
2022-02-01,121650.748922104
2022-02-02,121854.51690381608
2022-02-03,121775.03873215886
2022-02-04,121883.67084259668
2022-02-07,122335.61312594089
2022-02-08,122523.88907669265
2022-02-09,122734.00552526052
2022-02-10,122499.92505548682
2022-02-11,123674.46797250511
2022-02-14,124061.44725989996
2022-02-15,123370.71446251459
2022-02-16,124112.97694293642
2022-02-17,125121.7951568563
2022-02-18,125064.9270803107
2022-02-22,125238.51901618802
2022-02-23,125613.23762067605
2022-02-24,125075.93880957286
2022-02-25,124800.46332235911
2022-02-28,125656.88054767618
2022-03-01,127246.15451894524
2022-03-02,126294.322986451
2022-03-03,126857.45893485175
2022-03-04,128372.49296896975
2022-03-07,129857.25596727786
2022-03-08,132741.92089433214
2022-03-09,129466.69068216393
2022-03-10,129828.96601042859
2022-03-11,129099.06429530209
2022-03-14,127544.12847618526
2022-03-15,125647.80777592727
2022-03-16,126209.45948686879
2022-03-17,126645.8097400654
2022-03-18,125859.09133412201
2022-03-21,126537.97482044216
2022-03-22,125890.03083973523
2022-03-23,127103.85268854897
2022-03-24,127777.46956774018
2022-03-25,127386.74280445243
2022-03-28,125655.05292207946
2022-03-29,125697.44684692452
2022-03-30,126449.5389470148
2022-03-31,126486.73161757547
2022-04-01,125887.30390662162
2022-04-04,126337.80086102149
2022-04-05,125774.12265352193
2022-04-06,125984.88059739672
2022-04-07,126325.50371112823
2022-04-08,126890.91242375894
2022-04-11,127341.43768604985
2022-04-12,128041.74762237136
2022-04-13,128485.42519971814
2022-04-14,128161.98544204596
2022-04-18,128465.95098194072
2022-04-19,126983.45413001184
2022-04-20,127420.12829536253
2022-04-21,127096.43632025851
2022-04-22,126213.0525866278
2022-04-25,124595.03915323666
2022-04-26,124762.71952088279
2022-04-27,124168.03848509805
2022-04-28,124592.18143391676
2022-04-29,124584.71689936433
2022-05-02,123126.85238534244
2022-05-03,123321.22883346525
2022-05-04,124004.78212337711
2022-05-05,123673.48638879595
2022-05-06,123798.35878436206
2022-05-09,122719.9520655158
2022-05-10,122225.58257200893
2022-05-11,122747.8103314921
2022-05-12,121765.22206229053
2022-05-13,121239.14507493889
2022-05-16,121743.59383352727
2022-05-17,121405.88521791117
2022-05-18,121437.29287886393
2022-05-19,122231.98436580303
2022-05-20,122280.45159013008
2022-05-23,122560.04798985159
2022-05-24,123012.90851931955
2022-05-25,122656.80821684764
2022-05-26,122541.55820126613
2022-05-27,122577.07076817544
2022-05-31,121950.54142010899
2022-06-01,122350.8690994365
2022-06-02,123045.3814438298
2022-06-03,122420.68841285756
2022-06-06,122165.19995984301
2022-06-07,122556.22088240809
2022-06-08,122503.81521380687
2022-06-09,122316.27386162558
2022-06-10,123119.88874351133
2022-06-13,121484.17838418504
2022-06-14,121030.79763677146
2022-06-15,121739.36670974884
2022-06-16,122405.43209965539
2022-06-17,121882.10158670042
2022-06-21,121638.34248450276
2022-06-22,121912.14842837921
2022-06-23,121544.18669441785
2022-06-24,121487.79748781613
2022-06-27,121424.41907944396
2022-06-28,121329.2658790042
2022-06-29,121287.47391800754
2022-06-30,120926.98433381031
2022-07-01,120881.31370018897
2022-07-05,119680.77812773142
2022-07-06,118928.02153083603
2022-07-07,118963.53586343315
2022-07-08,118986.75703567042
2022-07-11,118775.68743380686
2022-07-12,118632.25216767887
2022-07-13,118830.73000707373
2022-07-14,118272.26827874177
2022-07-15,118197.90088965712
2022-07-18,118237.41024307795
2022-07-19,118326.07709376674
2022-07-20,118014.09111796494
2022-07-21,118498.04610631883
2022-07-22,118591.31952480538
2022-07-25,118505.27745962338
2022-07-26,118472.7264333542
2022-07-27,118828.93601772768
2022-07-28,119265.96033297558
2022-07-29,119385.41240984417
2022-08-01,119619.45120025161
2022-08-02,119332.87115648435
2022-08-03,119450.83118679278
2022-08-04,120210.96724954604
2022-08-05,119704.91601999706
2022-08-08,120124.1805201667
2022-08-09,120265.30447854288
2022-08-10,120139.8933053124
2022-08-11,120008.08734155225
2022-08-12,120496.73696716879
2022-08-15,119823.02082439214
2022-08-16,119738.40785601335
2022-08-17,119427.0531677639
2022-08-18,119308.81675126254
2022-08-19,118965.81530860858
2022-08-22,118657.1099446023
2022-08-23,118964.24983598583
2022-08-24,119099.46654160193
2022-08-25,119240.01035247976
2022-08-26,118721.37846525456
2022-08-29,118756.15233929177
2022-08-30,118407.1665958893
2022-08-31,118093.062964354
2022-09-01,117774.06975964695
2022-09-02,118110.2045658562
2022-09-06,117926.98552485066
2022-09-07,118270.26975901888
2022-09-08,118063.51722121154
2022-09-09,118271.48843974872
2022-09-12,118472.42399405107
2022-09-13,117987.98667833146
2022-09-14,117853.87789631945
2022-09-15,117166.59759486569
2022-09-16,117327.33763415122
2022-09-19,117361.19129948613
2022-09-20,117199.2204717645
2022-09-21,117365.9072747284
2022-09-22,117357.00298976953
2022-09-23,116784.82168094654
2022-09-26,116409.64669655649
2022-09-27,116510.2395210732
2022-09-28,117095.08063137424
