,equity
2023-04-13,139284.37312509934
2023-04-14,139118.2157614401
2023-04-17,139178.72718922145
2023-04-18,139223.63141947705
2023-04-19,139185.25127884405
2023-04-20,138517.37018921803
2023-04-21,138591.52192014948
2023-04-24,138425.75440348318
2023-04-25,136810.38135725533
2023-04-26,137384.40896633014
2023-04-27,139245.71719630007
2023-04-28,139847.77984927827
2023-05-01,139763.31747146763
2023-05-02,139010.02291585394
2023-05-03,138581.62685745774
2023-05-04,138324.39437329135
2023-05-05,139849.1446795784
2023-05-08,140046.17991809256
2023-05-09,139577.75350925545
2023-05-10,140496.4406651061
2023-05-11,140776.46316545393
2023-05-12,140447.16832337307
2023-05-15,140977.46045715333
2023-05-16,141101.0973680623
2023-05-17,142318.94083593256
2023-05-18,144166.81166232866
2023-05-19,143928.4874752332
2023-05-22,144309.83104616537
2023-05-23,142905.56875750134
2023-05-24,142337.00489735155
2023-05-25,144618.41772344668
2023-05-26,147203.09768260713
2023-05-30,147711.657148486
2023-05-31,146996.32224019096
2023-06-01,148134.33998209826
2023-06-02,148863.41412626524
2023-06-05,148965.57460441167
2023-06-06,148964.2993185596
2023-06-07,146636.06631955295
2023-06-08,148114.1853137537
2023-06-09,148643.98481957513
2023-06-12,150895.03642735077
2023-06-13,151929.55892145447
2023-06-14,152814.23002396594
2023-06-15,154629.03207315633
2023-06-16,153853.22893848803
2023-06-20,153668.5442198606
2023-06-21,151885.64444241585
2023-06-22,153353.00306944345
2023-06-23,152049.90226243014
2023-06-26,150385.56499234616
2023-06-27,152239.77915025107
2023-06-28,152466.5769287537
2023-06-29,152246.96823466406
2023-06-30,153786.93512188096
2023-07-03,154057.9292537151
2023-07-05,154103.17223671693
2023-07-06,153034.0012465238
2023-07-07,152584.74033844983
2023-07-10,152652.17004018076
2023-07-11,153312.02514186545
2023-07-12,155038.0381799917
2023-07-13,157407.05377519253
2023-07-14,157374.8698519658
2023-07-17,158811.11643082238
2023-07-18,160095.13661689725
2023-07-19,160118.5815212471
2023-07-20,156723.44163736916
2023-07-21,156409.43507844122
2023-07-24,156601.68085746677
2023-07-25,157559.05197674403
2023-07-26,157094.36226141662
2023-07-27,156720.50731824397
2023-07-28,159154.85049577185
2023-07-31,159261.88666587338
2023-08-01,158886.40498929794
2023-08-02,155616.65411736898
2023-08-03,155228.24258949977
2023-08-04,154548.96400132467
2023-08-07,155639.52875214012
2023-08-08,154584.271605114
2023-08-09,153246.41947930187
2023-08-10,153454.73688782012
2023-08-11,152686.5872701871
2023-08-14,154018.34462230155
2023-08-15,152778.87390098133
2023-08-16,151644.4437518288
2023-08-17,150552.9725667959
2023-08-18,150438.43528903447
2023-08-21,152020.69039611786
2023-08-22,151891.54478363946
2023-08-23,153474.58808831003
2023-08-24,150855.73718174524
2023-08-25,151702.3475673806
2023-08-28,152482.4718556332
2023-08-29,154991.23618472938
2023-08-30,155735.0121604261
2023-08-31,156163.97599072164
2023-09-01,155930.46116298216
2023-09-05,156134.1588116755
2023-09-06,154711.31825016488
2023-09-07,153583.01132867698
2023-09-08,153759.25066065314
2023-09-11,155517.20447784022
2023-09-12,153920.5112077606
2023-09-13,154401.4515590727
2023-09-14,155502.6997110116
2023-09-15,152967.5682676632
2023-09-18,153076.91673760203
2023-09-19,152823.55274408165
2023-09-20,150976.28782798635
2023-09-21,148646.29768925044
2023-09-22,148765.45626162324
2023-09-25,149234.46639463984
2023-09-26,147724.17161841504
2023-09-27,147992.20835878796
2023-09-28,148737.01497265566
2023-09-29,148829.64079574848
2023-10-02,149593.38656408415
2023-10-03,147947.78772815474
2023-10-04,149097.7749717489
2023-10-05,148841.48542908524
2023-10-06,150744.61272717325
2023-10-09,151313.38936740713
2023-10-10,151911.68225452892
2023-10-11,152742.76836163376
2023-10-12,152300.4070839205
2023-10-13,150865.21842031108
2023-10-16,152165.2991416744
2023-10-17,151906.17227656452
2023-10-18,150090.68307098193
2023-10-19,149229.63203865342
2023-10-20,147800.25508988215
2023-10-23,148079.27403096244
2023-10-24,149013.5083813152
2023-10-25,146683.5966074476
2023-10-26,145063.384349366
2023-10-27,145493.001762619
2023-10-30,146303.10261410064
2023-10-31,146776.74494547758
2023-11-01,148514.36128115954
2023-11-02,150451.91973488612
2023-11-03,152114.88589847548
2023-11-06,152735.31627333572
2023-11-07,154287.08199916978
2023-11-08,154409.26693378537
2023-11-09,153020.38244684238
2023-11-10,156861.34152837424
2023-11-13,156326.87953127665
2023-11-14,160152.84804696986
2023-11-15,160352.64660041407
2023-11-16,160477.51351183595
2023-11-17,160542.40068059205
2023-11-20,162869.8794107121
2023-11-21,161396.84394842884
2023-11-22,162836.88266125837
2023-11-24,162227.10596438084
2023-11-27,161869.99240201557
2023-11-28,161954.57158323211
2023-11-29,160484.57191454913
2023-11-30,160115.79994164387
2023-12-01,160583.43930259644
2023-12-04,159090.9521914315
2023-12-05,159439.36355010027
2023-12-06,158761.89569244665
2023-12-07,160657.80478697055
2023-12-08,161231.6199809868
2023-12-11,162554.84032134258
2023-12-12,165032.94468037467
2023-12-13,168853.00840676433
2023-12-14,168655.36078749475
2023-12-15,169945.88509836645
2023-12-18,172241.14452011682
2023-12-19,173980.22674347236
2023-12-20,168502.065337107
2023-12-21,172398.41256074858
2023-12-22,172826.06197175593
2023-12-26,174976.54070025566
2023-12-27,175634.7136345526
2023-12-28,175329.71618611453
2023-12-29,173635.07309062508
2024-01-02,167449.94276343333
2024-01-03,163811.85658781911
2024-01-04,162046.62467348942
2024-01-05,162386.3020555908
2024-01-08,167676.8917195897
2024-01-09,168267.12146511095
2024-01-10,170092.45725931798
2024-01-11,170553.36046049197
2024-01-12,170765.42415634368
2024-01-16,170728.85888451166
2024-01-17,169267.63379913673
2024-01-18,172853.69056794152
2024-01-19,178396.6699730399
2024-01-22,178696.47349774727
2024-01-23,180066.45653207478
2024-01-24,181967.398651173
2024-01-25,182266.94838914278
2024-01-26,180049.74065425884
2024-01-29,183583.60249404155
2024-01-30,181137.68072657273
2024-01-31,174095.22517834164
2024-02-01,177706.04367301482
2024-02-02,182681.33134587572
2024-02-05,182182.31914088567
2024-02-06,181588.34727621434
2024-02-07,184603.49558795977
2024-02-08,185078.57655256757
2024-02-09,188250.57240151076
2024-02-12,186782.62472309152
2024-02-13,180895.08851532137
2024-02-14,184359.26640187128
2024-02-15,185257.76727547415
2024-02-16,182106.8132926026
2024-02-20,179548.94434625778
2024-02-21,178176.16054673557
2024-02-22,186604.31948865607
2024-02-23,185462.12856485666
2024-02-26,185314.23148045596
2024-02-27,186046.53808974032
2024-02-28,184191.13222730267
2024-02-29,187256.71314094146
2024-03-01,193282.2055538761
2024-03-04,191660.4087240529
2024-03-05,184413.51937135682
2024-03-06,186942.40445037698
2024-03-07,191996.96498023398
2024-03-08,187213.73864223517
2024-03-11,186013.67964462802
2024-03-12,190280.7586647879
2024-03-13,187765.3412816232
