,EW
2020-12-02,132689.48880616366
2020-12-03,133191.18616567165
2020-12-04,133000.19031456346
2020-12-07,133996.7882985355
2020-12-08,134386.54719374294
2020-12-09,132443.40141866836
2020-12-10,132818.50601800036
2020-12-11,132831.84064478893
2020-12-14,132974.47902111072
2020-12-15,133844.28135267048
2020-12-16,134238.0959278373
2020-12-17,134929.12519757525
2020-12-18,134401.26978965502
2020-12-21,133845.67687368655
2020-12-22,133844.57894079815
2020-12-23,133658.52515464125
2020-12-24,134095.63237892932
2020-12-28,134497.9914941996
2020-12-29,134443.19076894358
2020-12-30,134739.01406907322
2020-12-31,135012.57193182467
2021-01-04,134002.31242673815
2021-01-05,134082.84985060006
2021-01-06,132422.897652526
2021-01-07,133197.89891987972
2021-01-08,132580.82686876794
2021-01-11,131678.7900814419
2021-01-12,131773.85538049776
2021-01-13,132191.5885770474
2021-01-14,131734.43467729946
2021-01-15,131042.86682718429
2021-01-19,132060.93242848164
2021-01-20,133708.04897982063
2021-01-21,134219.86317168333
2021-01-22,133711.51777369226
2021-01-25,134984.45337250963
2021-01-26,134921.7050954431
2021-01-27,132011.89606500958
2021-01-28,132272.45890745055
2021-01-29,131385.85627486513
2021-02-01,132506.0187595724
2021-02-02,132619.14601549285
2021-02-03,131657.20222110394
2021-02-04,131799.60400709283
2021-02-05,132077.01757950478
2021-02-08,132798.45778008032
2021-02-09,132866.92752683925
2021-02-10,132829.70678153023
2021-02-11,133074.42537023372
2021-02-12,133384.64875932943
2021-02-16,132436.0224614448
2021-02-17,131748.3810786907
2021-02-18,130846.37040903466
2021-02-19,130508.21016085302
2021-02-22,129363.27483985819
2021-02-23,129123.38935248353
2021-02-24,129411.54815771658
2021-02-25,127084.32131949386
2021-02-26,127242.7740662079
2021-03-01,127456.7791088353
2021-03-02,127407.02908097935
2021-03-03,126901.11351975438
2021-03-04,126482.52166962429
2021-03-05,126789.1724661066
2021-03-08,126488.43218508223
2021-03-09,127117.71598433578
2021-03-10,127302.87571069824
2021-03-11,127401.60548207059
2021-03-12,127424.61339570774
2021-03-15,128105.39107426742
2021-03-16,128386.63559014561
2021-03-17,128692.55000335848
2021-03-18,126800.69207601622
2021-03-19,127148.71511088684
2021-03-22,128138.87852873004
2021-03-23,127825.47772554254
2021-03-24,127023.43832138152
2021-03-25,126820.50050666663
2021-03-26,127589.62147902782
2021-03-29,127318.13056565172
2021-03-30,126822.41091314274
2021-03-31,127770.96128077322
2021-04-01,128981.043360318
2021-04-05,130068.2927917749
2021-04-06,130205.17267453563
2021-04-07,130253.97531698996
2021-04-08,131187.77575026764
2021-04-09,131732.83865985024
2021-04-12,131472.57037286466
2021-04-13,132987.60076587668
2021-04-14,131468.3974417721
2021-04-15,133573.65143365978
2021-04-16,133782.9177546344
2021-04-19,132596.40628364004
2021-04-20,131818.20513289157
2021-04-21,132898.0796209704
2021-04-22,131448.24267414908
2021-04-23,132725.96269284826
2021-04-26,133507.89787199185
2021-04-27,132895.66201733996
2021-04-28,132592.84374486597
2021-04-29,132842.7397611682
2021-04-30,132132.76979327746
2021-05-03,131816.695704364
2021-05-04,129930.38033427825
2021-05-05,130126.07000700397
2021-05-06,130799.06315382407
2021-05-07,131316.60328207334
2021-05-10,130075.57404983693
2021-05-11,129967.13136735054
2021-05-12,128502.73068534225
2021-05-13,128917.87015967359
2021-05-14,130012.82350523851
2021-05-17,130033.71570655078
2021-05-18,129725.36613829687
2021-05-19,129740.81631677915
2021-05-20,130750.3158236815
2021-05-21,130532.6756400944
2021-05-24,131357.76026300853
2021-05-25,131758.27650662925
2021-05-26,131837.7066410348
2021-05-27,131612.65751040072
2021-05-28,131864.7299089037
2021-06-01,131622.90689545812
2021-06-02,131872.86321709794
2021-06-03,130749.63447697466
2021-06-04,132012.55615521438
2021-06-07,132235.2881186007
2021-06-08,131979.91710068827
2021-06-09,132072.49195866266
2021-06-10,132827.32535668596
2021-06-11,132755.4983472313
2021-06-14,133480.37781565354
2021-06-15,132692.46447018927
2021-06-16,131867.84433126965
2021-06-17,132568.22867833675
2021-06-18,131897.8737160467
2021-06-21,132407.76611558258
2021-06-22,133313.28193737654
2021-06-23,133324.92423329
2021-06-24,133990.157075845
2021-06-25,133783.6263229246
2021-06-28,135133.36657298758
2021-06-29,135354.72380131937
2021-06-30,135356.08744027832
2021-07-01,135439.0425761061
2021-07-02,136852.7847434781
2021-07-06,137625.66987445246
2021-07-07,138111.70436716455
2021-07-08,137557.11410765408
2021-07-09,137852.36029813963
2021-07-12,138201.2088111953
2021-07-13,138072.18665627524
2021-07-14,138709.73294270522
2021-07-15,138158.0164856649
2021-07-16,137074.55164332106
2021-07-19,136723.77567355993
2021-07-20,137311.84432916692
2021-07-21,137579.66498821042
2021-07-22,138470.23862136656
2021-07-23,139373.6759698831
2021-07-26,139414.29490339797
2021-07-27,138534.74316230914
2021-07-28,138971.70808388008
2021-07-29,139235.39819654546
2021-07-30,138741.18259552558
2021-08-02,138911.95779910908
2021-08-03,139426.36987255982
2021-08-04,139629.71761263307
2021-08-05,140034.15634660306
2021-08-06,138755.0051377178
2021-08-09,138578.74845789658
2021-08-10,137955.9854197996
2021-08-11,137933.16742185355
2021-08-12,138280.73751264965
2021-08-13,139168.86436224642
2021-08-16,139353.7973732621
2021-08-17,138372.25773669625
2021-08-18,137532.16801309347
2021-08-19,137930.39882215473
2021-08-20,138752.17294965527
2021-08-23,140275.15405409966
2021-08-24,140396.76712617325
2021-08-25,140101.28402536077
2021-08-26,139605.54408294812
2021-08-27,140957.57977934054
2021-08-30,142050.31422544044
2021-08-31,141826.5795463089
2021-09-01,142064.32877994757
2021-09-02,142063.23987434024
2021-09-03,142392.92907503233
2021-09-07,141916.09531580016
2021-09-08,141662.22035592006
2021-09-09,141646.9503891771
2021-09-10,140629.08949471955
2021-09-13,140827.98878378843
2021-09-14,140922.85414070846
2021-09-15,141413.32907957633
2021-09-16,140951.40784868397
2021-09-17,139592.0191922542
2021-09-20,138021.81188948132
2021-09-21,138235.4768996558
2021-09-22,138979.40469191177
2021-09-23,138908.15923795087
2021-09-24,138840.97560041727
2021-09-27,137969.08111132885
2021-09-28,135359.90136169852
2021-09-29,135280.0837436519
2021-09-30,135384.10855441913
2021-10-01,135822.19888016616
2021-10-04,134971.16354815752
2021-10-05,135185.55127202676
2021-10-06,135668.84683355014
2021-10-07,135762.45812169803
2021-10-08,135365.55497821874
2021-10-11,134926.11293284415
2021-10-12,135144.27740149782
2021-10-13,135999.61368004087
2021-10-14,136991.56893559344
2021-10-15,136859.46189866058
2021-10-18,137429.09553167995
2021-10-19,137810.9380589035
2021-10-20,137716.03556985556
2021-10-21,138336.83743795168
2021-10-22,137722.90064878046
2021-10-25,138929.2594875265
2021-10-26,139296.82932837209
2021-10-27,140034.9216643988
2021-10-28,141204.37489001482
2021-10-29,141679.56712343238
2021-11-01,142012.28662128423
2021-11-02,142587.64943158336
2021-11-03,143412.27380420873
2021-11-04,145428.8361396058
2021-11-05,146211.95800374792
2021-11-08,146071.95198242296
2021-11-09,145681.1153070768
2021-11-10,143642.12714173578
2021-11-11,144057.01738807955
2021-11-12,145211.7981771647
2021-11-15,144842.36576043852
2021-11-16,145413.23321257925
2021-11-17,145883.34964144242
2021-11-18,147123.06540056563
2021-11-19,147869.5169030935
2021-11-22,145607.37042272236
2021-11-23,144503.48684244286
2021-11-24,145165.9644537742
2021-11-26,143734.534784397
2021-11-29,145283.19919567803
2021-11-30,144347.25863844345
2021-12-01,143680.4642754238
2021-12-02,143664.60526973204
2021-12-03,142949.34507617014
2021-12-06,142722.21523826665
2021-12-07,143466.96532065852
2021-12-08,143314.0787604362
2021-12-09,141841.3324847998
2021-12-10,142728.39929328236
2021-12-13,142412.49426289933
2021-12-14,141645.92569532743
2021-12-15,142477.84974725885
2021-12-16,141385.37797712968
2021-12-17,141410.8563868299
2021-12-20,140604.52979146864
2021-12-21,141399.43767910294
2021-12-22,142322.0468156694
2021-12-23,142541.54955405765
2021-12-27,143550.7619537465
2021-12-28,142734.71192192764
2021-12-29,142395.55372233372
2021-12-30,142588.4854955094
2021-12-31,142439.00256890833
2022-01-03,141984.24609247022
2022-01-04,141305.1333410806
2022-01-05,139438.22350017505
2022-01-06,139183.5682914937
2022-01-07,138600.24987126226
2022-01-10,138189.72013990034
2022-01-11,138748.227767333
2022-01-12,138777.67693479024
2022-01-13,138652.71917892067
2022-01-14,138270.97296891815
2022-01-18,137649.99091703503
2022-01-19,138024.87276390227
2022-01-20,137917.4612733313
2022-01-21,137802.45880915003
2022-01-24,137807.80580299406
2022-01-25,137714.3781037609
2022-01-26,137087.37391950144
2022-01-27,137054.3230087641
2022-01-28,137269.20931853063
2022-01-31,137518.11653185193
2022-02-01,137556.49878922568
2022-02-02,137835.09737951966
2022-02-03,137284.39437785663
2022-02-04,137096.76370300265
2022-02-07,137229.33280590267
2022-02-08,137300.01965459378
2022-02-09,137614.12410300804
2022-02-10,136994.12036433
2022-02-11,137375.22891421698
2022-02-14,137290.67674313064
2022-02-15,137035.8960803405
2022-02-16,137432.69857903873
2022-02-17,137627.7266565984
2022-02-18,137689.36122654867
2022-02-22,137682.7038096353
2022-02-23,137376.43326961374
2022-02-24,137357.47197915494
2022-02-25,137521.87052904587
2022-02-28,138196.05266832182
2022-03-01,138803.354376113
2022-03-02,137927.81201506598
2022-03-03,138263.3534707987
2022-03-04,139014.69720790925
2022-03-07,139116.97674424434
2022-03-08,139887.72329048347
2022-03-09,138768.0896795278
2022-03-10,138597.4542474125
2022-03-11,138248.74961134605
2022-03-14,137248.4689546179
2022-03-15,136750.36849627495
2022-03-16,137331.71184666108
2022-03-17,137565.84938518828
2022-03-18,137613.93595899432
2022-03-21,137507.82942540932
2022-03-22,137269.31250892035
2022-03-23,137625.6868649046
2022-03-24,138656.9699123218
2022-03-25,138302.2171699151
2022-03-28,138495.0407133931
2022-03-29,139445.71376070043
2022-03-30,139299.893369989
2022-03-31,138647.60256341973
2022-04-01,138429.04744859342
2022-04-04,139420.2188210514
2022-04-05,137804.52595587753
2022-04-06,136770.56291779116
2022-04-07,136855.11813927442
2022-04-08,136464.6589358276
2022-04-11,135674.93944706998
2022-04-12,136236.96718220392
2022-04-13,136550.53100349777
2022-04-14,136107.0175480332
2022-04-18,136179.4136540739
2022-04-19,135764.92061864055
2022-04-20,136069.40845230015
2022-04-21,135701.05569520843
2022-04-22,134979.6035433445
2022-04-25,134508.73961461763
2022-04-26,134368.48820735252
2022-04-27,134087.5784792822
2022-04-28,134460.4577627398
2022-04-29,134015.35686311143
2022-05-02,133424.043013758
2022-05-03,133588.01470103973
2022-05-04,134165.91120650998
2022-05-05,133439.2040358551
2022-05-06,133309.17566617683
2022-05-09,132687.11545667175
2022-05-10,132596.70048088057
2022-05-11,132779.91819153112
2022-05-12,132406.89854744906
2022-05-13,132326.481995193
2022-05-16,132465.95627759525
2022-05-17,132448.1859909932
2022-05-18,132186.35238790244
2022-05-19,132421.15307141573
2022-05-20,132526.82930961237
2022-05-23,132667.6287862421
2022-05-24,132908.96099964346
2022-05-25,132888.15094635444
2022-05-26,132988.37855278
2022-05-27,133266.41162942318
2022-05-31,132829.55870498484
2022-06-01,132883.1103934367
2022-06-02,133341.08072496654
2022-06-03,132918.32830980344
2022-06-06,132549.3231478839
2022-06-07,132979.10646142295
2022-06-08,132719.52625363308
2022-06-09,132021.35164169938
2022-06-10,131708.31504186543
2022-06-13,130545.20823865966
2022-06-14,130327.4165932994
2022-06-15,130752.666206442
2022-06-16,130842.97769427879
2022-06-17,130687.01944642348
2022-06-21,130654.01903619607
2022-06-22,130880.7919158864
2022-06-23,130846.90393542987
2022-06-24,130936.68755760037
2022-06-27,130844.01952050635
2022-06-28,130687.22740749443
2022-06-29,130748.06553120198
2022-06-30,130608.93249208311
2022-07-01,130724.36021513454
2022-07-05,130351.41287387832
2022-07-06,129990.8440902677
2022-07-07,130060.54175046973
2022-07-08,129997.09679893331
2022-07-11,129942.4307431617
2022-07-12,129861.09687447376
2022-07-13,129956.54122126804
2022-07-14,129711.28607716909
2022-07-15,129865.41591008665
2022-07-18,129755.93061465421
2022-07-19,129953.72479324459
2022-07-20,129924.2368589889
2022-07-21,130270.26850120326
2022-07-22,130328.95776748184
2022-07-25,130273.26790385296
2022-07-26,130111.6226237904
2022-07-27,130516.49968011529
2022-07-28,130867.25544026495
2022-07-29,131096.73231568508
2022-08-01,131357.92271468704
2022-08-02,131026.38734532369
2022-08-03,131455.65389320516
2022-08-04,131781.0352496141
2022-08-05,131335.2149137019
2022-08-08,131555.50747901734
2022-08-09,131411.6598926541
2022-08-10,131765.08324922784
2022-08-11,131428.6038084834
2022-08-12,132068.94794791343
2022-08-15,131993.99807554128
2022-08-16,131947.72915383993
2022-08-17,131507.51532694587
2022-08-18,131538.3397859293
2022-08-19,130873.71757071324
2022-08-22,130225.25540360023
2022-08-23,130291.33665828724
2022-08-24,130342.15967953697
2022-08-25,130652.50992661474
2022-08-26,130081.46830294788
2022-08-29,129967.6501083663
2022-08-30,129787.93463675157
2022-08-31,129581.82622115183
2022-09-01,129392.10430998317
2022-09-02,129478.75423937065
2022-09-06,129259.62598181014
2022-09-07,129594.0352330523
2022-09-08,129522.5251641467
2022-09-09,129732.6958239301
2022-09-12,129859.51340288005
2022-09-13,129310.47518716811
2022-09-14,129333.65594171328
2022-09-15,128966.93508558534
2022-09-16,128931.8013789001
2022-09-19,129031.85287663408
2022-09-20,128847.9149869825
2022-09-21,128849.11055842752
2022-09-22,128631.65207889257
2022-09-23,128311.43935510087
2022-09-26,128041.93942186353
2022-09-27,127977.02826589691
2022-09-28,128459.03006895463
2022-09-29,128302.75758557775
2022-09-30,128159.05152014078
2022-10-03,128690.86650458479
2022-10-04,129071.15354266766
2022-10-05,128976.14630980774
2022-10-06,128875.243492136
2022-10-07,128479.53618288366
2022-10-10,128158.1486092587
2022-10-11,128115.65468098532
2022-10-12,128187.83365120084
2022-10-13,128273.28566872739
2022-10-14,127942.27026199119
2022-10-17,128176.84057935135
2022-10-18,128308.41822583249
2022-10-19,128074.50845225938
2022-10-20,127957.35149921631
