date,score,prev_w,new_w,equity_open,cost,trail_active,event,pos_return
2023-01-20,2.0,[0.        0.3503912 0.6496088],[0.   0.35 0.65],158014.92856797256,0.018544834482029978,True,,
2023-01-23,4.0,[0.         0.35379672 0.64620328],[0.25 0.25 0.5 ],158971.9373103924,11.922895298279428,True,,
2023-01-24,4.0,[0.25694917 0.24855124 0.49449959],[0.25 0.25 0.5 ],160757.081666484,0.33513860007536944,True,,
2023-01-25,4.0,[0.24333998 0.2509514  0.50570862],[0.25 0.25 0.5 ],158970.9099407234,0.3176248605829776,True,,
2023-01-26,4.0,[0.26364418 0.24837174 0.48798408],[0.25 0.25 0.5 ],162914.39588478202,0.6668499816463632,True,,
2023-01-27,4.0,[0.25107455 0.24983051 0.49909494],[0.25 0.25 0.5 ],163238.58164149383,0.05262238891324556,True,,
2023-01-30,4.0,[0.25170099 0.24904845 0.49925056],[0.25 0.25 0.5 ],163513.07603598622,0.0834401109954019,True,,
2023-01-31,5.0,[0.24512699 0.25089776 0.50397526],[0.4 0.1 0.5],162252.4284349527,7.538556760945815,True,,
2023-02-01,4.0,[0.40945173 0.09924257 0.4913057 ],[0.25 0.25 0.5 ],165145.97044180066,7.899843274688484,True,,
2023-02-02,5.0,[0.27299698 0.24612228 0.48088074],[0.4 0.1 0.5],171734.56740265485,7.528274183684144,True,,
2023-02-03,5.0,[0.39326322 0.1004427  0.50629409],[0.4 0.1 0.5],169622.5349451463,0.34281311644235296,True,,
2023-02-06,4.0,[0.3966918  0.10016967 0.50313853],[0.25 0.25 0.5 ],168594.35894237232,7.578164696381475,True,,
2023-02-07,5.0,[0.2499669  0.24960659 0.50042651],[0.4 0.1 0.5],168473.39433405368,7.582975757756473,True,,
2023-02-08,5.0,[0.41110828 0.09898438 0.48990733],[0.4 0.1 0.5],171967.5857872371,0.5730794249513732,True,,
2023-02-09,3.0,[0.39983971 0.10026965 0.49989064],[0.1 0.4 0.5],172035.9284946387,15.474960990562463,True,,
2023-02-10,2.0,[0.09278206 0.39850269 0.50871525],[0.   0.35 0.65],169104.37074472796,7.167560870307385,True,,
2023-02-13,2.0,[0.         0.35155727 0.64844273],[0.   0.35 0.65],169534.47597387515,0.07920334138616658,True,,
2023-02-14,2.0,[0.         0.35135767 0.64864233],[0.   0.35 0.65],169920.56247882044,0.0692086616236748,True,,
2023-02-15,4.0,[0.         0.34946526 0.65053474],[0.25 0.25 0.5 ],169812.21431993548,12.73591607399516,True,,
2023-02-16,4.0,[0.24878738 0.24973803 0.50147458],[0.25 0.25 0.5 ],169331.37710519496,0.07490792694047452,True,,
2023-02-17,2.0,[0.24429826 0.25074555 0.50495618],[0.   0.35 0.65],167700.34134003796,12.290670613212955,True,,
2023-02-21,2.0,[0.         0.34827275 0.65172725],[0.   0.35 0.65],167274.69149147748,0.08667774245478795,True,,
2023-02-22,3.0,[0.        0.3479535 0.6520465],[0.1 0.4 0.5],166780.62059730594,7.607522934770191,True,,
2023-02-23,3.0,[0.10273816 0.39987042 0.49739141],[0.1 0.4 0.5],167678.8946660527,0.13773966526859305,True,,
2023-02-24,2.0,[0.09495193 0.39876179 0.50628628],[0.   0.35 0.65],165627.6012140363,7.140887665757646,True,,
2023-02-27,2.0,[0.         0.35250761 0.64749239],[0.   0.35 0.65],166292.9042697823,0.12509926570831972,True,,
2023-02-28,3.0,[0.        0.3484525 0.6515475],[0.1 0.4 0.5],165928.52556609118,7.5438159756646375,True,,
