,InvVol
2021-05-04,215542.8398148935
2021-05-05,216162.1830983494
2021-05-06,218081.53574690904
2021-05-07,218907.3445979986
2021-05-10,217156.34030588332
2021-05-11,216732.92245091306
2021-05-12,213705.48296825783
2021-05-13,214556.8083085363
2021-05-14,217017.66221086594
2021-05-17,217928.84653209036
2021-05-18,217634.58505182038
2021-05-19,217551.58069236815
2021-05-20,219522.4305085447
2021-05-21,219561.94454961998
2021-05-24,220802.19283244724
2021-05-25,222731.8541952747
2021-05-26,222441.57352544216
2021-05-27,221935.14707333603
2021-05-28,222347.53342580714
2021-06-01,221878.7431307503
2021-06-02,222751.4754461504
2021-06-03,219636.58440195696
2021-06-04,222822.98656242492
2021-06-07,223053.45338235746
2021-06-08,223331.51306014162
2021-06-09,224179.657676444
2021-06-10,225824.86374975395
2021-06-11,224541.41434618182
2021-06-14,223662.91896256062
2021-06-15,222541.71407615158
2021-06-16,220387.3048616012
2021-06-17,220417.13021784282
2021-06-18,221897.44546147127
2021-06-21,220622.67044458044
2021-06-22,221336.30058903145
2021-06-23,220975.54380797065
2021-06-24,221736.669459249
2021-06-25,220372.70612359003
2021-06-28,222983.4639504949
2021-06-29,222883.05826623918
2021-06-30,223684.96701777636
2021-07-01,223954.35910772375
2021-07-02,226541.7243874986
2021-07-06,229236.00229454206
2021-07-07,231300.0673778561
2021-07-08,231268.4485658608
2021-07-09,229438.12410181965
2021-07-12,229652.86627166608
2021-07-13,228422.01240057207
2021-07-14,231446.01559973584
2021-07-15,232496.07315148998
2021-07-16,230499.83054468757
2021-07-19,234040.4979009703
2021-07-20,232438.04346754088
2021-07-21,229964.56515336924
2021-07-22,232651.09981848468
2021-07-23,232359.57784114184
2021-07-26,231782.77140093932
2021-07-27,232621.24718226312
2021-07-28,233645.8397625449
2021-07-29,234125.28224558913
2021-07-30,233384.53197066823
2021-08-02,234689.62457070904
2021-08-03,235490.62503261532
2021-08-04,236115.22309920395
2021-08-05,235752.6244504312
2021-08-06,229667.5299136742
2021-08-09,227959.76801775576
2021-08-10,226420.65656076898
2021-08-11,226891.54653380474
2021-08-12,227268.77656420265
2021-08-13,231304.96460172144
2021-08-16,232141.62055488984
2021-08-17,230424.23316246687
2021-08-18,229645.54134926555
2021-08-19,231062.34168261627
2021-08-20,232409.91206284586
2021-08-23,235432.4410430856
2021-08-24,234427.0245188637
2021-08-25,232254.05056124378
2021-08-26,231748.63711431445
2021-08-27,236025.32682838035
2021-08-30,237996.19490817754
2021-08-31,236876.72328613346
2021-09-01,237539.1881414433
2021-09-02,237867.41806034202
2021-09-03,238199.3493570326
2021-09-07,234710.86566738793
2021-09-08,234805.71210132464
2021-09-09,236438.9607853067
2021-09-10,233104.83297418547
2021-09-13,234448.47671700278
2021-09-14,236525.877228413
2021-09-15,236502.8170640061
2021-09-16,233440.85780042093
2021-09-17,230167.28928963369
2021-09-20,229400.58407685056
2021-09-21,230043.91551734752
2021-09-22,231847.9362574541
2021-09-23,227732.86466771958
2021-09-24,226306.7398797415
2021-09-27,224759.9112706383
2021-09-28,218350.35235365463
2021-09-29,218048.01090112806
2021-09-30,219678.66875424125
2021-10-01,221132.97537946422
2021-10-04,220181.4955480963
2021-10-05,219221.28495503435
2021-10-06,220612.33132119
2021-10-07,219388.90960243944
2021-10-08,218299.5506887681
2021-10-11,217296.02952811067
2021-10-12,219212.57478237303
2021-10-13,222841.33807842503
2021-10-14,224766.91311508504
2021-10-15,222296.78353817036
2021-10-18,223303.92054950388
2021-10-19,223024.25849672267
2021-10-20,223203.17123038485
2021-10-21,223991.40277947526
2021-10-22,224471.58712300617
2021-10-25,226960.59816753957
2021-10-26,227487.75508942653
2021-10-27,230588.12471306615
2021-10-28,232065.18388840102
2021-10-29,232275.77565588226
2021-11-01,232636.81157931534
2021-11-02,233869.30437843464
2021-11-03,233415.4848501596
2021-11-04,239311.8031530126
2021-11-05,243520.22387207538
2021-11-08,243406.01709124388
2021-11-09,244542.38591346578
2021-11-10,239567.28341289374
2021-11-11,240857.24265942338
2021-11-12,242696.6883661534
2021-11-15,240505.0027415575
2021-11-16,240399.38295524463
2021-11-17,243184.7151155679
2021-11-18,245506.16886726127
2021-11-19,246993.49725338456
2021-11-22,238431.35171350552
2021-11-23,233848.2159621825
2021-11-24,236199.42672666634
2021-11-26,236051.37213057902
2021-11-29,237423.35873053587
2021-11-30,236898.38661617006
2021-12-01,237207.03290697013
2021-12-02,236669.04073703662
2021-12-03,238261.78720140457
2021-12-06,235665.17431756906
2021-12-07,235970.64293746444
2021-12-08,233463.6899544486
2021-12-09,231344.84848998085
2021-12-10,232760.84531814835
2021-12-13,234285.10473074816
2021-12-14,231895.06355134657
2021-12-15,232263.5842334347
2021-12-16,232128.78933515222
2021-12-17,233292.1726062362
2021-12-20,230725.05943151691
2021-12-21,231204.73195798058
2021-12-22,234179.6486493941
2021-12-23,233720.12977138557
2021-12-27,235769.39403118403
2021-12-28,233555.10796302985
2021-12-29,231984.62673571968
2021-12-30,233985.53923332697
2021-12-31,234887.90378146537
2022-01-03,229757.77191842644
2022-01-04,229408.48265986796
2022-01-05,225932.35967249892
2022-01-06,224166.93550720502
2022-01-07,223444.85204168884
2022-01-10,223481.73174571423
2022-01-11,226396.6908483216
2022-01-12,226564.90141241573
2022-01-13,226527.82113724112
2022-01-14,224451.79561778597
2022-01-18,222374.56203242386
2022-01-19,225750.95397536532
2022-01-20,225594.16452832823
2022-01-21,225678.03086298134
2022-01-24,225907.35503574705
2022-01-25,226219.15947724023
2022-01-26,222054.46391390718
2022-01-27,221280.37058870064
2022-01-28,221278.3267972567
2022-01-31,222019.59297236172
2022-02-01,221956.28683154433
2022-02-02,223068.3856467458
2022-02-03,221481.4399288919
2022-02-04,220428.11654571988
2022-02-07,221641.42403671308
2022-02-08,221786.45582393743
2022-02-09,222851.53078332864
2022-02-10,220460.4235822114
2022-02-11,224346.33684148244
2022-02-14,224455.49249134524
2022-02-15,221893.0199326582
2022-02-16,224486.0189165133
2022-02-17,227401.72459156884
2022-02-18,227884.2094891988
2022-02-22,228446.04757621026
2022-02-23,228019.76505312347
2022-02-24,226777.7469575259
2022-02-25,226667.10298553907
2022-02-28,230769.04640672205
2022-03-01,235555.2182986202
2022-03-02,229543.08098186977
2022-03-03,231898.93376023296
2022-03-04,237170.94262868623
2022-03-07,239734.4199563973
2022-03-08,246202.38472849393
2022-03-09,236573.82951236633
2022-03-10,236083.62361005315
2022-03-11,234122.92560917785
2022-03-14,227982.57843561433
2022-03-15,223386.2962185404
2022-03-16,226018.86220607336
2022-03-17,226922.075038212
2022-03-18,226176.08027676854
2022-03-21,226052.27828877527
2022-03-22,223826.94293888097
2022-03-23,227566.09077459565
2022-03-24,230578.95146458002
2022-03-25,228569.40080714267
2022-03-28,229538.14703619864
2022-03-29,233668.7087328452
2022-03-30,233173.53322493285
2022-03-31,230515.04260833847
2022-04-01,229745.95960552106
2022-04-04,233547.36532764474
2022-04-05,226186.27486422064
2022-04-06,221812.41790756508
2022-04-07,221922.85256987304
2022-04-08,220182.17423335882
2022-04-11,216843.75061793096
2022-04-12,219012.93557944513
2022-04-13,220286.7130137255
2022-04-14,218173.44657172172
2022-04-18,218391.92225317593
2022-04-19,216469.3258245191
2022-04-20,218011.2219137688
2022-04-21,216473.48981017334
2022-04-22,213583.77088812715
2022-04-25,211824.0831327556
2022-04-26,211506.97190551896
2022-04-27,210203.06006639337
2022-04-28,211526.56533486274
2022-04-29,209718.4175058048
2022-05-02,207205.20401795342
2022-05-03,207922.42404899758
2022-05-04,210032.1873294559
2022-05-05,206926.7020780518
2022-05-06,206179.29518091577
2022-05-09,204218.7668049125
2022-05-10,204090.5270051473
2022-05-11,205169.383812533
2022-05-12,203829.5188735729
2022-05-13,203188.96390159373
2022-05-16,203651.92411258642
2022-05-17,203303.79077011635
2022-05-18,202915.2275395462
2022-05-19,203789.78230405576
2022-05-20,204407.71481204435
2022-05-23,204498.43909122
2022-05-24,205783.63590694364
2022-05-25,205782.86135291675
2022-05-26,205963.9457507672
2022-05-27,206905.95419588214
2022-05-31,204917.21972554945
2022-06-01,205090.00927207508
2022-06-02,206601.70761038922
2022-06-03,205162.68594467273
2022-06-06,203512.37134813127
2022-06-07,205164.62752020033
2022-06-08,204124.37746419047
2022-06-09,202020.59895493378
2022-06-10,201011.11749651335
2022-06-13,196487.64696184307
2022-06-14,195583.6359549893
2022-06-15,197265.8432572632
2022-06-16,197783.5789733166
2022-06-17,197313.23008044285
2022-06-21,196868.71828637802
2022-06-22,198083.10311324376
2022-06-23,198093.96115840878
2022-06-24,198091.6683139716
2022-06-27,197659.751959692
2022-06-28,197403.07419424324
2022-06-29,197937.1544616379
2022-06-30,197733.199078506
2022-07-01,198258.1104891604
2022-07-05,197202.27952076794
2022-07-06,195513.9343742105
2022-07-07,195396.40753694132
2022-07-08,194903.83233984263
2022-07-11,195244.45806372806
2022-07-12,195181.05526241317
2022-07-13,195770.22548915626
2022-07-14,194873.91716494865
2022-07-15,195409.5980082042
2022-07-18,194824.46192948538
2022-07-19,195124.45143525564
2022-07-20,195125.0112240263
2022-07-21,196543.11966096773
2022-07-22,197188.3946441246
2022-07-25,196837.6129919148
2022-07-26,196509.3128166457
2022-07-27,197335.09574212588
2022-07-28,198637.43672105297
2022-07-29,199271.04375920922
2022-08-01,200767.42099595006
2022-08-02,199140.06348395246
2022-08-03,200915.6288452685
2022-08-04,201918.45854522428
2022-08-05,199861.0540055032
2022-08-08,201004.3786698343
2022-08-09,200464.65500680255
2022-08-10,201369.60249512002
2022-08-11,199683.43055413853
2022-08-12,201954.90613963967
2022-08-15,201716.99208307383
2022-08-16,201698.95766603402
2022-08-17,200045.4843394501
2022-08-18,200198.9767174613
2022-08-19,197701.45418155918
2022-08-22,195640.9653146236
2022-08-23,195741.95203274494
2022-08-24,195760.13603052922
2022-08-25,196999.68020669572
2022-08-26,195513.260257887
2022-08-29,195048.26862900052
2022-08-30,194553.39252909133
2022-08-31,193724.51580619084
2022-09-01,192742.55548262602
2022-09-02,193201.85228240868
2022-09-06,192041.44563522976
2022-09-07,193368.1832224776
2022-09-08,192916.31996541988
2022-09-09,193591.14540836657
2022-09-12,193819.09126245964
2022-09-13,192303.08611679648
2022-09-14,192422.23719105683
2022-09-15,191286.2637530801
2022-09-16,191073.15981153582
2022-09-19,191412.01599223632
2022-09-20,190693.339293829
2022-09-21,191121.18733012653
2022-09-22,190013.9842829489
2022-09-23,189119.85909102776
2022-09-26,188058.27947673155
2022-09-27,187600.85331791817
2022-09-28,189530.8051361965
2022-09-29,189068.01622051635
2022-09-30,188540.0223426884
2022-10-03,190479.31502413558
2022-10-04,191685.6246649593
2022-10-05,191252.20780865784
2022-10-06,190913.11284760866
2022-10-07,189570.2955102489
2022-10-10,188304.28531061957
2022-10-11,188241.51226658464
2022-10-12,188582.96217601266
2022-10-13,188630.61797855693
2022-10-14,187515.25790395722
2022-10-17,188158.5640904096
2022-10-18,188587.4578456392
2022-10-19,187631.9220026571
2022-10-20,187126.66905227408
2022-10-21,187964.5931738859
2022-10-24,187998.82284154024
2022-10-25,189055.51513077665
2022-10-26,189524.057008473
2022-10-27,189669.85806925033
2022-10-28,190224.42419582175
2022-10-31,189427.6037202529
2022-11-01,189679.1651384217
2022-11-02,188079.5220151411
2022-11-03,187229.48323448276
2022-11-04,188631.6052922011
2022-11-07,188521.5555471047
2022-11-08,189966.5996993503
2022-11-09,189422.94398315693
2022-11-10,192989.2804476995
2022-11-11,193573.929235204
2022-11-14,193536.119020613
2022-11-15,194379.23428854055
2022-11-16,194627.5831084169
2022-11-17,194145.54987113987
2022-11-18,193640.39501438622
2022-11-21,193143.26242925326
2022-11-22,194202.72336259444
2022-11-23,195467.37987144972
2022-11-25,195270.8994740675
2022-11-28,194318.88503556044
2022-11-29,193917.36067272804
2022-11-30,196529.3312737495
2022-12-01,199043.26941055275
2022-12-02,199512.80043399616
2022-12-05,196797.71360644535
2022-12-06,197034.85956672503
2022-12-07,198818.5603309241
2022-12-08,199174.1636803454
2022-12-09,197037.95897567688
2022-12-12,197442.24719990004
2022-12-13,199739.23535644647
2022-12-14,199686.10098937983
2022-12-15,197683.09110305662
2022-12-16,197117.95691925974
2022-12-19,195359.5092664276
2022-12-20,195047.20607591234
2022-12-21,195480.92553821485
2022-12-22,194375.7086703895
2022-12-23,193985.5910713672
2022-12-27,193602.35634314205
2022-12-28,192712.83081008637
2022-12-29,194199.56072254395
2022-12-30,194160.9344677268
2023-01-03,195465.09601984138
2023-01-04,196927.36278283986
2023-01-05,196088.2806264271
2023-01-06,199497.09430045725
2023-01-09,200373.05542146228
2023-01-10,199882.1504134368
2023-01-11,201664.55033017928
2023-01-12,204446.18602307496
2023-01-13,205392.78221522525
2023-01-17,204247.10802138297
2023-01-18,205521.5845321915
2023-01-19,206177.07176933606
2023-01-20,205217.39843590313
2023-01-23,205843.3570673798
2023-01-24,207516.6562480732
2023-01-25,208201.5346827529
2023-01-26,207750.627616529
2023-01-27,208007.060029338
2023-01-30,206054.16703164086
2023-01-31,208190.99439998693
2023-02-01,212128.34794392763
2023-02-02,212213.22867122327
2023-02-03,206375.63504939637
2023-02-06,205242.24596651958
2023-02-07,206294.04311036784
2023-02-08,205360.3197669689
2023-02-09,203355.95853945432
2023-02-10,202265.72925850138
2023-02-13,203502.8330847515
2023-02-14,203864.67213269696
2023-02-15,203081.80292602262
2023-02-16,200233.68580310984
2023-02-17,200363.96153297706
2023-02-21,197269.07155571214
2023-02-22,197494.9912004489
2023-02-23,198562.8106809819
2023-02-24,196397.43450867108
2023-02-27,197397.577198045
2023-02-28,198001.53737506893
2023-03-01,197373.85282019115
2023-03-02,197359.628465333
2023-03-03,200891.94760965864
2023-03-06,199929.8539145484
2023-03-07,197890.64414642568
2023-03-08,198365.27676950308
2023-03-09,197983.80751922276
2023-03-10,201356.456339308
2023-03-13,202836.51419088733
2023-03-14,201345.75592014432
2023-03-15,204286.29195138946
2023-03-16,204309.65276144835
2023-03-17,208650.73856551485
2023-03-20,207935.49072968168
2023-03-21,205373.75005953087
2023-03-22,207901.9296679984
2023-03-23,210086.20142547908
2023-03-24,209379.26653047977
2023-03-27,205302.85126411013
2023-03-28,206144.1798892478
2023-03-29,206966.09402189887
2023-03-30,209086.58850168186
2023-03-31,211448.73379885254
2023-04-03,212714.56519593915
2023-04-04,214957.86635864386
2023-04-05,215067.7901293144
2023-04-06,215320.19913957897
2023-04-10,212312.20167621496
2023-04-11,212710.76466510457
2023-04-12,212326.69659094483
2023-04-13,214629.84895373927
2023-04-14,211299.00903089705
2023-04-17,209506.44292541902
2023-04-18,210382.30977255764
2023-04-19,209758.86395929893
2023-04-20,210280.86031350988
2023-04-21,208590.00010074626
2023-04-24,209919.92901475582
2023-04-25,210511.600703233
2023-04-26,209026.60363187472
2023-04-27,209957.2644468613
2023-04-28,212729.07243933348
2023-05-01,208409.925104753
2023-05-02,212441.04482114268
2023-05-03,213644.8871451364
2023-05-04,212970.29045532894
2023-05-05,211771.2594562699
2023-05-08,210395.52155442414
2023-05-09,210392.3448927935
2023-05-10,212265.35645494913
2023-05-11,212788.31447280815
2023-05-12,211158.7549617148
2023-05-15,210644.02642869225
2023-05-16,208940.46247981256
2023-05-17,209498.74784390972
2023-05-18,209131.66511198386
2023-05-19,209200.90286254918
2023-05-22,209064.42916601666
2023-05-23,207999.3851932175
2023-05-24,206086.4331912528
2023-05-25,207313.55689165843
2023-05-26,211234.14212585374
2023-05-30,213282.4456613133
2023-05-31,213434.74722027394
2023-06-01,216037.66933424576
2023-06-02,214167.5693843626
2023-06-05,214821.29567215964
2023-06-06,215569.89426509978
2023-06-07,209540.52688840148
2023-06-08,214226.12712801213
2023-06-09,214577.25178963615
2023-06-12,218017.14189496572
2023-06-13,217730.78325841314
2023-06-14,220052.39078391064
2023-06-15,224494.43174843106
2023-06-16,222457.6163678491
2023-06-20,221895.09044046953
2023-06-21,219101.7039147719
2023-06-22,218943.18005177926
2023-06-23,218393.23246794194
2023-06-26,215981.4782503657
2023-06-27,218224.07912561388
2023-06-28,218935.7917542591
2023-06-29,216152.66969580797
2023-06-30,220483.50772335957
2023-07-03,220344.5655638417
2023-07-05,218820.49990799994
2023-07-06,215657.8738197002
2023-07-07,215454.10216810467
2023-07-10,215809.57820420514
2023-07-11,217577.23129444016
2023-07-12,222420.5285922886
2023-07-13,226296.4404965599
2023-07-14,225203.18872361118
2023-07-17,227050.4944096473
2023-07-18,230747.45796312182
2023-07-19,232045.88770859438
2023-07-20,225473.59910073128
2023-07-21,224658.83995154017
2023-07-24,223904.08704570303
2023-07-25,225694.76057835738
2023-07-26,226034.52936766128
2023-07-27,221245.1235095964
2023-07-28,225887.7754314238
2023-07-31,226678.33892176667
2023-08-01,223169.60301152046
2023-08-02,218453.08829182998
2023-08-03,215871.08820216206
2023-08-04,217120.41022453964
2023-08-07,217108.74576623237
2023-08-08,216224.01858220092
2023-08-09,214873.66080876684
2023-08-10,213633.02685432506
2023-08-11,212820.43189116073
2023-08-14,213616.2385630143
2023-08-15,211760.64644037923
2023-08-16,209519.7852116609
2023-08-17,208058.53169711924
2023-08-18,208173.36148935976
2023-08-21,209095.20970455057
2023-08-22,209611.6595814628
2023-08-23,213788.92891105765
2023-08-24,211006.76206966463
2023-08-25,211939.41092168714
2023-08-28,213167.48590303946
2023-08-29,217494.95097562825
2023-08-30,218473.93929082504
2023-08-31,218975.73826131833
2023-09-01,217810.78817191225
2023-09-05,215733.12824603904
2023-09-06,214261.22908686462
2023-09-07,213884.04924812028
2023-09-08,214396.11177863867
2023-09-11,215446.8159829385
2023-09-12,213983.75867872214
2023-09-13,214067.39919517713
2023-09-14,214506.51910238224
2023-09-15,213038.0615089529
2023-09-18,214434.4611787781
2023-09-19,213594.31343944703
2023-09-20,212477.1332714227
2023-09-21,207735.40856815956
2023-09-22,208829.3708797067
2023-09-25,207050.34630235622
2023-09-26,204563.89081464615
2023-09-27,202820.966695817
2023-09-28,202952.44954145217
2023-09-29,201763.71369522903
2023-10-02,200226.0948663818
2023-10-03,197466.88075073902
2023-10-04,199114.88444554663
2023-10-05,198567.17211885005
2023-10-06,199693.2995136727
2023-10-09,202934.5647375312
2023-10-10,203283.19617616758
2023-10-11,205701.37050892465
2023-10-12,203383.67985501076
2023-10-13,207172.34173893539
2023-10-16,206679.58427766262
2023-10-17,206274.89056696132
2023-10-18,206704.5568550905
2023-10-19,206995.8570800095
2023-10-20,206760.16942695508
2023-10-23,207035.4536116801
2023-10-24,208377.04937460227
2023-10-25,206162.1991973642
2023-10-26,206233.1937096265
2023-10-27,208054.6270831577
2023-10-30,207583.69527754822
2023-10-31,206864.82843058853
2023-11-01,209034.83217916597
2023-11-02,212485.84532869793
2023-11-03,214587.4073484756
2023-11-06,213155.1091644027
2023-11-07,214669.0721407442
2023-11-08,214787.72691623855
2023-11-09,212255.7178908715
2023-11-10,213946.11831314897
2023-11-13,214126.0405770894
2023-11-14,219757.73546415748
2023-11-15,218479.46265269455
2023-11-16,221068.5344148747
2023-11-17,221545.2351321879
2023-11-20,223458.292249396
2023-11-21,224125.63166964386
2023-11-22,224391.9109279495
2023-11-24,223938.131786171
2023-11-27,226344.9046254006
2023-11-28,228926.4472489764
2023-11-29,230386.08190757275
2023-11-30,228212.03628354735
2023-12-01,233592.00378977438
2023-12-04,228429.85919308936
2023-12-05,230608.41383883206
2023-12-06,232404.7665998112
2023-12-07,233289.84934924485
2023-12-08,230425.93030758743
2023-12-11,229317.38446394182
2023-12-12,231417.48576021742
2023-12-13,240174.7244852013
2023-12-14,244781.25184652244
2023-12-15,244658.55077993087
2023-12-18,245542.44460897782
2023-12-19,248960.14469305577
2023-12-20,245583.53031023385
2023-12-21,248080.35008140758
2023-12-22,248247.93871312722
2023-12-26,251546.1377537027
2023-12-27,256305.07307179781
2023-12-28,253537.93877824026
2023-12-29,250109.08300602468
2024-01-02,244255.15805688122
2024-01-03,241113.16449748166
2024-01-04,237110.7197876108
2024-01-05,235577.6757158236
2024-01-08,239931.73955752183
2024-01-09,239546.7696980958
2024-01-10,240056.87482445867
2024-01-11,241726.11234333742
2024-01-12,243049.2758462864
2024-01-16,238638.81218255707
2024-01-17,235309.40615826542
2024-01-18,238440.22081816307
2024-01-19,244082.38260863407
2024-01-22,244751.44263975052
2024-01-23,245485.99823787285
2024-01-24,245209.31484469556
2024-01-25,247016.32925798505
2024-01-26,244793.3170883468
2024-01-29,250340.34333354887
2024-01-30,250342.5694316542
2024-01-31,247596.0586930245
2024-02-01,254680.0082327821
2024-02-02,252187.44439237853
2024-02-05,247173.19139888516
2024-02-06,249029.82214196463
2024-02-07,250476.9615812356
2024-02-08,249820.2950454668
2024-02-09,251141.77544440964
2024-02-12,249928.10131439217
2024-02-13,241137.29757177204
2024-02-14,243901.59466416689
2024-02-15,246257.38892385192
2024-02-16,244046.41927966342
2024-02-20,243475.19580482395
2024-02-21,241705.35280673776
2024-02-22,248184.0913959481
2024-02-23,250278.6610376477
2024-02-26,249376.00337469077
2024-02-27,248674.41367425944
2024-02-28,248682.00030706637
2024-02-29,252352.2149473761
2024-03-01,260255.50691743818
2024-03-04,262614.41193392867
2024-03-05,262686.0516625284
2024-03-06,267057.9367174496
2024-03-07,271138.2315836344
2024-03-08,270235.949684331
2024-03-11,270016.40120226284
2024-03-12,267789.4682738784
2024-03-13,267434.61667906924
2024-03-14,263347.5700402682
2024-03-15,260181.02066856826
2024-03-18,261877.90643804302
2024-03-19,262461.28848220146
2024-03-20,267837.9962494811
2024-03-21,268831.64657544397
